SMILES,MD_Fracture_Stress_GPa,Gaussian_NLL_Predicted_Mean_GPa,MSE_Predicted_Mean_GPa,Gaussian_NLL_Std_GPa,MSE_Std_GPa
CC(C)(c1ccc(C*)cc1)c1ccc(CN2C(=O)c3ccc(C(O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,3.316418145,2.6267803,2.6382,0.40667605,0.46944842
CC(C)(c1ccc(C*)cc1)c1ccc(CN2C(=O)c3ccc(/C=C/C(O)/C=C/c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,3.904317486,2.06053,2.11049,0.45073918,0.30295628
O=C(OCc1ccc(Cc2ccc(COC(=O)c3ccc4c(c3)C(=O)N(Cc3ccc(C(O)C(O)c5ccc(C*)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O,4.015623835,2.9766402,2.78287,0.42450297,0.38570666
O=C(c1ccc2c(c1)C(=O)N(*)C2=O)c1ccc2c(c1)C(=O)N(Cc1ccc(COCc3ccc(C*)cc3)cc1)C2=O,4.11451408,2.69589,2.56991,0.34180334,0.33398664
O=C1c2ccc(C(O)C(O)c3ccc4c(c3)C(=O)N(Cc3ccc(/C=C/c5ccc(C*)cc5)cc3)C4=O)cc2C(=O)N1*,4.23037615,3.22593,2.9323401,0.7348838,0.87120134
O=C1/C(=C/c2ccc(C*)cc2)CC/C1=C\c1ccc(CN2C(=O)c3ccc(C(=O)c4ccc(/C=C5\CC/C(=C\c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6)C5=O)cc4)cc3C2=O)cc1,4.31519448,2.3323102,2.22139,0.37039074,0.36185622
O=C1/C(=C/c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)CCC/C1=C\c1ccc(C(=O)c2ccc3c(c2)C(=O)N(Cc2ccc(COCc4ccc(C*)cc4)cc2)C3=O)cc1,4.324940714,2.5877397,2.58359,0.43354747,0.39743888
O=C(OCc1ccc(C#CC#Cc2ccc(COC(=O)c3ccc4c(c3)C(=O)N(Cc3ccc(CCC(O)CCc5ccc(C*)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O,4.353207665,2.6735604,2.38479,0.4341057,0.45543242
O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(C(=O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(Cc3ccc(CCC(O)CCc5ccc(C*)cc5)cc3)C4=O)cc2)cc1,4.39374132,2.53119,1.8419199,0.3604203,0.44129646
O=C1c2ccc(-c3ccc(Cc4ccc(-c5ccc6c(c5)C(=O)N(Cc5ccc(CCC(O)CCc7ccc(C*)cc7)cc5)C6=O)cc4)cc3)cc2C(=O)N1*,4.48888459,2.8564098,2.20171,0.3452674,0.4804379
O=C1c2ccc(-c3ccc4c(c3)C(=O)N(Cc3ccc(/C=C/c5ccc(C*)cc5)cc3)C4=O)cc2C(=O)N1*,4.576911043,2.79745,2.32453,0.48552397,0.5145415
O=C(Oc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(C(O)c2ccc(C(=O)Oc3ccc4c(c3)C(=O)N(Cc3ccc(C(O)C(O)c5ccc(C*)cc5)cc3)C4=O)cc2)cc1,4.624988219,2.98822,2.66686,0.41985264,0.43989927
O=C(Oc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(-c2ccc(-c3ccc(C(=O)Oc4ccc5c(c4)C(=O)N(Cc4ccc(CCC(O)CCc6ccc(C*)cc6)cc4)C5=O)cc3)cc2)cc1,4.752806882,3.08193,2.68569,0.35836175,0.43764898
O=C(c1ccc(-c2ccc3c(c2)C(=O)N(Cc2ccc(/C=C/c4ccc(C*)cc4)cc2)C3=O)cc1)C(O)c1ccc(-c2ccc3c(c2)C(=O)N(*)C3=O)cc1,4.913635126,2.60023,2.14848,0.38677838,0.3512804
O=C(c1ccc(CN2C(=O)c3ccc(OCc4ccc(/C=C/c5ccc(COc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)cc1)C(O)c1ccc(C*)cc1,5.097543646,2.7919297,2.5637698,0.44536892,0.36966506
O=C1/C(=C/c2ccc(C(=O)Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2)CC/C1=C\c1ccc(C(=O)Oc2ccc3c(c2)C(=O)N(Cc2ccc(COCc4ccc(C*)cc4)cc2)C3=O)cc1,5.101609617,3.3025403,3.30969,0.37521687,0.3605527
O=C(c1ccc(CN2C(=O)c3ccc(OCc4ccc(Oc5ccc(COc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)cc1)C(O)c1ccc(C*)cc1,5.316907605,3.1513698,2.8783002,0.4873536,0.28840855
CN(Cc1ccc(CNC(=O)c2ccc(*)cc2)cc1)Cc1ccc(CNC(=O)c2ccc(N3C(=O)c4ccc(OCc5ccc(Cc6ccc(COc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,7.966610725,8.47687,7.5159097,0.3317115,0.38288403
O=C(OCc1ccc(-c2ccc(-c3ccc(COC(=O)c4ccc(N5C(=O)c6ccc(Cc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)[nH]2)cc1)c1ccc(*)cc1,8.041513022,9.13925,8.24085,0.31851205,0.5057295
