Fracture_Stress_Gpa,Physical model,Gaussian NLL Loss ML model
9.699406485,4.177310229,10.1601
7.561068022,9.079834195,6.926
11.15565788,8.66609851,11.2512
11.60177275,11.48253425,11.2216
9.05890194,9.960849483,9.7199
9.996874072,7.267903322,9.9251
9.391258577,14.03015704,9.9122
12.81156202,8.594899676,10.6063
9.795444639,7.812983712,9.308
5.125909379,6.085442731,2.4866
12.15713862,8.404042032,10.2978
9.207263855,-4.364119049,5.576
7.88695076,-9.823017748,5.0639
8.007870805,5.704897308,7.9929
10.42207913,12.10976091,11.5378
10.2618811,7.668217377,8.9431
15.093441,18.03434143,10.4715
9.18980439,8.219115831,9.2536
10.4191341,4.798837341,8.722
9.030408861,8.031788366,8.5075
3.508199047,5.005952293,0.2192
4.218117225,2.940172862,2.2055
8.640105167,9.589487333,8.8317
4.10031708,2.405972173,1.9133
9.977583956,-0.467803616,7.2689
4.426569025,1.355188584,1.9785
11.52132885,12.53936109,11.109
1.365997636,1.515957474,1.5633
10.54804611,5.001966472,8.6681
11.29437078,9.671077181,10.7437
11.51731144,9.62363417,12.2532
4.100602089,2.516608329,1.466
8.69113141,8.201322279,7.5597
13.87950471,17.63220429,14.111
12.08340917,10.4363489,12.5463
8.626419478,3.442174772,6.9302
10.53672061,-0.61950673,5.9975
0.241913102,0.516007221,1.9051
10.18405108,7.640083706,8.8049
12.06327194,8.134703601,9.4432
9.804597852,8.227116175,7.2398
4.424098345,-1.128895407,1.6535
8.6535235,9.719661998,8.9012
3.893928187,-0.575124084,1.745
10.12436732,7.7422068,9.063
4.966317703,2.35476434,1.3925
4.705214491,4.780706068,1.9493
