Diamine SMILES,Dianhydride SMILES
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,NCc1ccc(C(=O)C(O)c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(C(O)C(O)c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(COCc3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(C(=O)CC(=O)c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(COCOCc3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(C#CC#Cc2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(COCCOc3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(/C=C/c2ccc(CN)cc2)cc1
CN(Cc1ccc2c(c1)C(=O)OC2=O)Cc1ccc2c(c1)C(=O)OC2=O,NCc1ccc(-c2ccc(-c3ccc(CN)cc3)[nH]2)cc1
O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(-c2ccc(-c3ccc(CN)cc3)cc2)cc1
O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(C(O)CC(O)c2ccc(CN)cc2)cc1
CC(C)(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,NCc1ccc(/C=C/C(=O)/C=C/c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(C(O)c3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(/C=C/C(O)/C=C/c2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(/C=C/c3ccc4c(c3)C(=O)OC4=O)ccc21,NCc1ccc(CCC(O)CCc2ccc(CN)cc2)cc1
O=C1OC(=O)c2cc(-c3ccc(-c4ccc5c(c4)C(=O)OC5=O)[nH]3)ccc21,NCc1ccc(/C=C2\CC/C(=C\c3ccc(CN)cc3)C2=O)cc1
O=C1OC(=O)c2cc(-c3ccc(-c4ccc5c(c4)C(=O)OC5=O)cc3)ccc21,NCc1ccc(/C=C2\CCC/C(=C\c3ccc(CN)cc3)C2=O)cc1
O=C1/C(=C/c2ccc3c(c2)C(=O)OC3=O)CCC/C1=C\c1ccc2c(c1)C(=O)OC2=O,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1
